
            --------Part 1--------    --------Part 2--------     --------Delta--------
Year Day       Time   Rank  Score        Time   Rank  Score       Delta rank  Delta time
2015   1       >24h  73958      0       >24h  59590      0       14368        0:00:00
2015   2       >24h  46794      0       >24h  41895      0        4899        0:00:00
2015   3       >24h  38096      0       >24h  34845      0        3251        0:00:00
2015   4       >24h  31816      0       >24h  30514      0        1302        0:00:00
2015   5       >24h  30899      0       >24h  26132      0        4767        0:00:00
2015   6       >24h  24502      0       >24h  23373      0        1129        0:00:00
2015   7       >24h  16977      0       >24h  16356      0         621        0:00:00
2015   8       >24h  16030      0       >24h  15108      0         922        0:00:00
2015   9       >24h  13858      0       >24h  13562      0         296        0:00:00
2015  10       >24h  14915      0       >24h  14338      0         577        0:00:00
2015  14       >24h  11564      0       >24h  10783      0         781        0:00:00
2015  17       >24h   9066      0       >24h   8893      0         173        0:00:00
2015  20       >24h   7420      0          -      -      -           -              -
2016   1       >24h  25876      0       >24h  19956      0        5920        0:00:00
2016   2       >24h  20037      0       >24h  17792      0        2245        0:00:00
2016   3       >24h  18736      0       >24h  16690      0        2046        0:00:00
2016   4       >24h  14988      0       >24h  14162      0         826        0:00:00
2016   5       >24h  14810      0       >24h  14144      0         666        0:00:00
2016   6       >24h  15055      0       >24h  14623      0         432        0:00:00
2016   7       >24h  13144      0       >24h  11818      0        1326        0:00:00
2016   8       >24h  10753      0       >24h  10554      0         199        0:00:00
2016   9       >24h  10673      0       >24h   9100      0        1573        0:00:00
2016  10       >24h   8021      0       >24h   7886      0         135        0:00:00
2016  12       >24h   7561      0       >24h   7468      0          93        0:00:00
2016  13       >24h   5945      0       >24h   5682      0         263        0:00:00
2016  14       >24h   6347      0       >24h   6094      0         253        0:00:00
2016  15       >24h   5660      0       >24h   5620      0          40        0:00:00
2016  16       >24h   6308      0       >24h   6134      0         174        0:00:00
2016  17       >24h   4931      0       >24h   4819      0         112        0:00:00
2016  18       >24h   5355      0       >24h   5316      0          39        0:00:00
2016  19       >24h   5981      0          -      -      -           -              -
2016  20       >24h   5262      0       >24h   5035      0         227        0:00:00
2016  22       >24h   4602      0          -      -      -           -              -
2016  23       >24h   4419      0       >24h   4171      0         248        0:00:00
2017   1       >24h  59263      0       >24h  49329      0        9934        0:00:00
2017   2       >24h  48833      0       >24h  41569      0        7264        0:00:00
2017   3       >24h  34223      0       >24h  25371      0        8852        0:00:00
2017   4       >24h  32621      0       >24h  29278      0        3343        0:00:00
2017   7       >24h  22679      0       >24h  17767      0        4912        0:00:00
2018   1       >24h  93132      0       >24h  72774      0       20358        0:00:00
2018   2       >24h  64240      0       >24h  57387      0        6853        0:00:00
2018   3       >24h  46711      0       >24h  44250      0        2461        0:00:00
2018   5       >24h  34168      0       >24h  32893      0        1275        0:00:00
2018   7       >24h  23458      0       >24h  19208      0        4250        0:00:00
2018   8       >24h  19646      0       >24h  18584      0        1062        0:00:00
2019   1       >24h  118511      0       >24h  103841      0       14670        0:00:00
2019   2       >24h   86926      0       >24h   78440      0        8486        0:00:00
2019   3       >24h   57359      0       >24h   50261      0        7098        0:00:00
2019   4       >24h   56951      0       >24h   52500      0        4451        0:00:00
2019   5       >24h   38629      0       >24h   36873      0        1756        0:00:00
2019   6       >24h   35735      0       >24h   33794      0        1941        0:00:00
2019   8       >24h   29605      0       >24h   28440      0        1165        0:00:00
2019   9       >24h   21964      0       >24h   21857      0         107        0:00:00
2019  10       >24h   21075      0       >24h   17866      0        3209        0:00:00
2019  12       >24h   18344      0       >24h   14713      0        3631        0:00:00
2019  14       >24h   12418      0       >24h   11485      0         933        0:00:00
2019  18       >24h    5490      0          -       -      -           -              -
2019  20       >24h    5763      0       >24h    5009      0         754        0:00:00
2019  22       >24h    6835      0          -       -      -           -              -
2019  24       >24h    6072      0       >24h    4709      0        1363        0:00:00
2020   1   15:30:58  57284      0   15:41:05  53086      0        4198        0:10:07
2020   2   02:53:45  15724      0   03:08:50  15256      0         468        0:15:05
2020   3   03:06:56  17982      0   03:18:47  16885      0        1097        0:11:51
2020   4   02:17:37  14475      0   02:58:30  11542      0        2933        0:40:53
2020   5   03:16:34  14519      0   03:21:16  13611      0         908        0:04:42
2020   6   09:37:37  36350      0   09:44:54  33848      0        2502        0:07:17
2020   7   05:57:16  18664      0   06:07:51  15021      0        3643        0:10:35
2020   8   03:05:11  16551      0   03:25:06  13837      0        2714        0:19:55
2020   9   02:35:35  14408      0   02:46:41  13079      0        1329        0:11:06
2020  10   03:09:23  16635      0   07:32:15  15346      0        1289        4:22:52
2020  11   02:20:42   8833      0   02:46:37   7158      0        1675        0:25:55
2020  12   03:51:56  11266      0   04:07:28   9347      0        1919        0:15:32
2020  13   01:57:08   8651      0   02:34:13   3935      0        4716        0:37:05
2020  14   03:26:04   9893      0   04:16:02   7838      0        2055        0:49:58
2020  15   02:56:01   9703      0   03:02:25   8247      0        1456        0:06:24
2020  16   03:08:50   9470      0   04:16:59   7080      0        2390        1:08:09
2020  17   02:40:38   5423      0   02:48:40   4980      0         443        0:08:02
2020  18   04:00:44   7658      0   04:19:16   6330      0        1328        0:18:32
2020  19   05:31:17   5888      0   08:24:36   5242      0         646        2:53:19
2020  20   12:44:22   9035      0       >24h   7877      0        1158        11:15:37
2020  21   15:53:45  10730      0   15:58:12  10412      0         318        0:04:27
2020  22   02:43:14   5936      0   03:22:28   4227      0        1709        0:39:14
2020  23   08:31:21   8665      0   10:12:42   5593      0        3072        1:41:21
2020  24   12:56:48  10470      0       >24h  11576      0       -1106        11:03:11
2020  25   15:47:10  10667      0   15:47:57   7954      0        2713        0:00:47
2021   1   07:35:16  44355      0   07:40:40  38014      0        6341        0:05:24
2021   2   07:50:32  56717      0   07:52:32  53147      0        3570        0:02:00
2021   3   08:16:54  54746      0   08:32:17  35746      0       19000        0:15:23
2021   4   06:15:23  21870      0   06:27:32  19726      0        2144        0:12:09
2021   5   02:57:27  13036      0   03:09:47  11538      0        1498        0:12:20
2021   6   03:08:19  20459      0   03:19:52  15283      0        5176        0:11:33
2021   7   03:03:46  22436      0   03:21:14  21508      0         928        0:17:28
2021   8   07:04:15  32138      0   07:11:28  17799      0       14339        0:07:13
2021   9   03:30:47  19647      0   04:20:07  14360      0        5287        0:49:20
2021  10   02:27:19  14176      0   02:37:21  12849      0        1327        0:10:02
2021  11   03:54:37  12089      0   03:57:19  11826      0         263        0:02:42
2021  12   02:54:25   8873      0   03:10:03   7849      0        1024        0:15:38
2021  13   01:02:52   6605      0   01:05:55   5617      0         988        0:03:03
2021  14   05:13:50  20030      0   05:31:18  12343      0        7687        0:17:28
2021  15   03:12:31   8633      0   03:26:18   6174      0        2459        0:13:47
2021  16   04:33:38   7402      0   04:44:22   6315      0        1087        0:10:44
2021  17   11:18:06  16664      0   12:10:27  15594      0        1070        0:52:21
2021  18   14:40:34   9669      0   14:44:29   9401      0         268        0:03:55
2021  19       >24h  11385      0       >24h  11187      0         198        0:00:00
2021  20   03:45:32   5536      0   03:48:22   5269      0         267        0:02:50
2021  21   02:44:55   7303      0   05:42:55   5714      0        1589        2:58:00
2021  22   02:50:38   5979      0          -      -      -           -              -
2021  23       >24h   9695      0          -      -      -           -              -
2021  25       >24h  13317      0          -      -      -           -              -
